"ISO.3.Country.Code"	"LOCODE.Code"	"Description"	"Coordinates"	"lat"	"lon"	"range"
"249"	"FRA"	"FRTWA"	"Ares"	"4477N 00114W"	44.7671	-1.1394	3
"250"	"FRA"	"FRURO"	"Rouen"	"4943N 00108E"	49.433333	1.083333	3
"251"	"FRA"	"FRUTE"	"Leucate"	"4292N 00303E"	42.916667	3.033333	3
"252"	"FRA"	"FRUYR"	"Banyuls-sur-Mer"	"4248N 00313E"	42.483333	3.133333	3
"253"	"FRA"	"FRVFM"	"Villefranche-sur-Mer"	"4370N 00732E"	43.7	7.316667	3
"254"	"FRA"	"FRVNO"	"Le Lavandou"	"4313N 00637E"	43.133333	6.366667	3
"255"	"FRA"	"FRVP8"	"Valras-Plage"	"4325N 00328E"	43.25	3.283333	3
"256"	"FRA"	"FRWWS"	"Soussans"	"4505N 00068W"	45.05	-0.683333	3
"257"	"FRA"	"FRYNE"	"La Seyne-sur-Mer"	"4308N 00590E"	43.08	5.9	3
"258"	"FRA"	"FRYSZ"	"Sarzeau"	"4753N 00277W"	47.533333	-2.766667	3
"259"	"FRA"	"FRZJZ"	"St Jean-de-Luz"	"4338N 00167W"	43.383333	-1.666667	3
"260"	"GBR"	"GBABA"	"Aberaeron"	"5225N 00425W"	52.25	-4.25	3
"261"	"GBR"	"GBABF"	"Aberdyfi (Aberdovey)"	"5255N 00403W"	52.55	-4.033333333	3
"262"	"GBR"	"GBABJ"	"St Abbs"	"5588N 00212W"	55.88333333	-2.116666667	3
"263"	"GBR"	"GBABW"	"Barmouth (Abermaw)"	"5272N 00405W"	52.71666667	-4.05	3
"264"	"GBR"	"GBADR"	"Aberdaron"	"5280N 00472W"	52.8	-4.716666667	3
"265"	"GBR"	"GBAGL"	"Ardglass"	"5427N 00562W"	54.26666667	-5.616666667	3
"266"	"GBR"	"GBAIT"	"Aith"	"6027N 00135W"	60.26666667	-1.35	3
"267"	"GBR"	"GBALB"	"Aldeburgh"	"5215N 00160E"	52.15	1.6	3
"268"	"GBR"	"GBALL"	"Alloa"	"5610N 00382W"	56.1	-3.816666667	3
"269"	"GBR"	"GBAMW"	"Amlwch"	"5342N 00435W"	53.41666667	-4.35	3
"270"	"GBR"	"GBANG"	"Annalong"	"5410N 00590W"	54.1	-5.9	3
"271"	"GBR"	"GBANN"	"Annan"	"5499N 00326W"	54.987	-3.265	3
"272"	"GBR"	"GBANS"	"Anstruther"	"5622N 00267W"	56.21666667	-2.666666667	3
"273"	"GBR"	"GBARG"	"Arisaig"	"5690N 00583W"	56.9	-5.833333333	3
"274"	"GBR"	"GBAUL"	"Aultbea"	"5783N 00557W"	57.83333333	-5.566666667	3
"275"	"GBR"	"GBAVC"	"Avoch"	"5755N 00417W"	57.55	-4.166666667	3
"276"	"GBR"	"GBAXO"	"Axmouth"	"5070N 00305W"	50.7	-3.05	3
"277"	"GBR"	"GBAYW"	"Aberystwyth"	"5242N 00408W"	52.41666667	-4.083333333	3
"278"	"GBR"	"GBBAN"	"Bangor"	"5465N 00570W"	54.65	-5.7	3
"279"	"GBR"	"GBBCH"	"Bruichladdich"	"5575N 00635W"	55.75	-6.35	3
